González, 3
La Gloria, 4
La Jagua de Ibirico, 1
Manaure, 1
Pailitas, 1
Pelaya, 1
Pueblo Bello, 0
Río de Oro, 1
La Paz, 1
San Alberto, 5
San Diego, 4
San Martín, 1
Tamalameque, 0
Montería, 5
Ayapel, 1
Buenavista, 1
Canalete, 4
Cereté, 1
Chimá, 0
Chinú, 1
Ciénaga de Oro, 5
Cotorra, 0
La Apartada, 5
Lorica, 5
Los Córdobas, 4
Momil, 1
Montelíbano(1)(3), 5
Moñitos, 4
Planeta Rica, 5
Pueblo Nuevo, 1
Puerto Escondido, 3
Puerto Libertador, 5
Purísima, 4
Sahagún, 1
San Andrés Sotavento (1) (3), 5
San Antero, 1
San Bernardo del Viento, 1
San Carlos, 4
San Pelayo, 0
Tierralta, 1
Valencia, 0
Agua de Dios, 0
Albán, 3
Anapoima, 3
Anolaima, 0
Arbeláez, 0
Beltrán, 2
Bituima, 2
Bojacá, 1
Cabrera, 3
Cachipay, 0
Cajicá, 5
Caparrapí, 0
Caqueza, 1
Carmen de Carupa, 3
Chaguaní, 2
Chía, 5
Chipaque, 0
Choachí, 0
Chocontá, 1
Cogua, 1
Cota, 1
Cucunubá, 3
El Colegio, 4
El Peñón, 2
El Rosal, 5
Facatativá, 5
Fomeque, 0
Fosca, 3
Funza, 5
Fúquene, 2
Gachala, 3
Gachancipá, 1
Gachetá, 0
Gama, 2
Girardot, 1
Granada, 3
Guachetá, 0
Guaduas, 0
Guasca, 0
Guataquí, 2
Guatavita, 3
Guayabal de Siquima, 2
Guayabetal, 3
Gutiérrez, 3
Jerusalén, 2
Junín, 2
La Calera, 1
La Mesa, 1
La Palma, 0
La Peña, 3
La Vega, 0
Lenguazaque, 3
Macheta, 3
Madrid, 5
Manta, 3
Medina, 0
Mosquera, 5
Nariño, 2
Nemocón, 4
Nilo, 4
Nimaima, 4
Nocaima, 3
Venecia, 3
Pacho, 4
Paime, 2
Pandi, 3
Paratebueno, 3
Pasca, 0
Puerto Salgar, 1
Pulí, 2
Quebradanegra, 2
Quetame, 3
Quipile, 2
Apulo, 3
Ricaurte, 2
San Antonio del Tequendama, 3
San Bernardo, 4
San Cayetano, 2
San Francisco, 0
San Juan de Río Seco, 0
Sasaima, 3
Sesquilé, 0
Sibaté, 5
Silvania, 2
Simijaca, 4
Soacha, 5
Sopó, 1
Subachoque, 1
Suesca, 1
Supatá, 3
Susa, 1
Sutatausa, 3
Tabio, 5
Tausa, 3
Tena, 2
Tenjo, 1
Tibacuy, 2
Tibirita, 2
Tocaima, 4
Tocancipá, 1
Topaipí, 2
Ubalá, 2
Ubaque, 2
Villa de San Diego de Ubate, 1
Une, 4
Útica, 2
Vergara, 3
Vianí, 3
Villagómez, 2
Villapinzón, 4
Villeta, 4
Viotá, 0
Yacopí, 4
Zipacón, 0
Zipaquirá, 5
Quibdó, 1
Acandí, 4
Alto Baudo, 5
Atrato, 4
Bagadó, 0
Bahía Solano, 4
Bajo Baudó, 0
Bojaya, 1
El Cantón del San Pablo, 4
Carmen del Darien, 3
Cértegui, 1
Condoto, 1
