city, label
Bojacá, 5
Cabrera, 3
Cachipay, 0
Cajicá, 1
Caparrapí, 0
Caqueza, 5
Carmen de Carupa, 3
Chaguaní, 2
Chía, 1
Chipaque, 0
Choachí, 0
Chocontá, 5
Cogua, 5
Cota, 5
Cucunubá, 3
El Colegio, 4
El Peñón, 2
El Rosal, 1
Facatativá, 1
Fomeque, 0
Fosca, 3
Funza, 1
Fúquene, 2
Gachala, 3
Gachancipá, 5
Gachetá, 3
Gama, 2
Girardot, 5
Granada, 3
Guachetá, 0
Guaduas, 0
Guasca, 0
Guataquí, 2
Guatavita, 3
Guayabal de Siquima, 2
Guayabetal, 3
Gutiérrez, 3
Jerusalén, 2
Junín, 2
La Calera, 5
La Mesa, 5
La Palma, 0
La Peña, 3
La Vega, 0
Lenguazaque, 3
Macheta, 3
Madrid, 1
Manta, 3
Medina, 0
Mosquera, 1
Nariño, 2
Nemocón, 4
Nilo, 4
Nimaima, 4
Nocaima, 3
Venecia, 3
Pacho, 4
Paime, 2
Pandi, 3
Paratebueno, 3
Pasca, 0
Puerto Salgar, 5
Pulí, 2
Quebradanegra, 2
Quetame, 3
Quipile, 2
Apulo, 3
Ricaurte, 2
San Antonio del Tequendama, 2
San Bernardo, 4
San Cayetano, 2
San Francisco, 0
San Juan de Río Seco, 0
Sasaima, 3
Sesquilé, 0
Sibaté, 1
Silvania, 2
Simijaca, 4
Soacha, 1
Sopó, 5
Subachoque, 5
Suesca, 5
Supatá, 3
Susa, 5
Sutatausa, 3
Tabio, 1
Tausa, 3
Tena, 2
Tenjo, 5
Tibacuy, 2
Tibirita, 2
Tocaima, 4
Tocancipá, 5
Topaipí, 2
Ubalá, 2
Ubaque, 2
Villa de San Diego de Ubate, 5
Une, 4
Útica, 2
Vergara, 3
Vianí, 3
Villagómez, 2
Villapinzón, 4
Villeta, 4
Viotá, 0
Yacopí, 4
Zipacón, 3
Zipaquirá, 1
Quibdó, 5
Acandí, 4
Alto Baudo, 1
Atrato, 4
Bagadó, 0
Bahía Solano, 4
Bajo Baudó, 0
Bojaya, 5
El Cantón del San Pablo, 4
Carmen del Darien, 3
Cértegui, 5
Condoto, 5
El Carmen de Atrato, 5
El Litoral del San Juan, 3
Istmina, 5
Juradó, 3
Lloró, 4
Medio Atrato, 3
Medio Baudó, 2
Medio San Juan, 4
Nóvita, 0
Nuquí, 0
Río Iro, 3
